Address,Permit No,Lat,Long,Description,Link,Issued
235-251 Bourke Street MELBOURNE VIC 3000,-37.813759,144.966599,TP-2013-342,Buildings and works to an existing shopfront and erection business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196036,Yes
Carlton Clocktower Complex 247-253 Drummond Street CARLTON VIC 3053,-37.7999723,144.9684769,TP-2013-333,"Part demolitiion, alterations and additions to an existing building",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195941,Yes
CSL Limited 39-79 Poplar Road PARKVILLE VIC 3052,-37.7806979,144.9508708,TP-2013-330,Temporary alterations and additions to the existing Gate 2 entry to allow emergency and visitor vehicle entry/exit and staff pedestrian entry/exit daily,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195894,Yes
167-173 Collins Street MELBOURNE VIC 3000,-37.815626,144.968292,TP-2013-331,Erection of internally-illuminated business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195895,Yes
Waterside Hotel 508-514 Flinders Street MELBOURNE VIC 3000,-37.820168,144.957158,TP-2013-332,Carry out development including minor demolition and buildings and works associated with the installation of retractable canopies and  pergola elements to the existing hotel,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195909,Yes
Kathleen Syme Library and Community Centre 249-263 Faraday Street CARLTON VIC 3053,-37.7984911,144.9650002,TP-2013-325,"To construct a building and construct and carry out works, to use the land as a community centre, library and restaurant (cafe) and a reduction in the bicycle parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195752,Yes
135-137 Roden Street WEST MELBOURNE VIC 3003,-37.808343,144.947621,TP-2012-657/A,Construction of a 5 storey building containing dwellings with a partial waiver of the car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195764,No
548 Macaulay Road KENSINGTON VIC 3031,-37.7939605,144.9278858,TP-2013-326,Buildings and works for the partial demolition and extension of the existing dwelling to the rear including a covered roof deck,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195805,Yes
52 Pelham Street CARLTON VIC 3053,-37.80267,144.967585,TP-2013-327,Buildings and works to demolish the existing fence and construct a new fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195806,Yes
Stargate Apartments 114-122 Franklin Street MELBOURNE VIC 3000,-37.8084873,144.958924,TP-2015-428,Business identification signage comprising letters on glazed panel above door and an internally illuminated under-awning sign.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233946,Yes
159-167 Cardigan Street CARLTON VIC 3053,-37.802306,144.964838,TP-2015-425,12 Lot Subdivision of PS736961L,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233950,No
56-92 Langford Street NORTH MELBOURNE VIC 3051,-37.797516,144.937291,TP-2015-426,Change of use from industry to employment training centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233951,No
349-351 Little Bourke Street MELBOURNE VIC 3000,-37.8134942,144.9622926,TP-2015-430,Construct and display internally illuminated signs and carry out works associated with an accessible entrance,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233955,No
134-160 Spencer Street MELBOURNE VIC 3000,-37.817145,144.9533906,TP-2015-431,Signage publicising the sale of the property. (Premier Tower Development.),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233961,Yes
410-412 Lonsdale Street MELBOURNE VIC 3000,-37.8128588,144.9605368,TP-2015-429,Use of the premises as a restricted recreational facility (yoga studio) and a waiver of bicycle parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233962,Yes
437-439 Spencer Street WEST MELBOURNE VIC 3003,-37.810445,144.949841,TP-2015-432,"Demolition of existing buildings to construct a multi storey building to be used for the purposes of dwellings, retail premises and office and reduction in the associated car parking, bicycle and loading and unloading requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233964,No
346-376 Queen Street MELBOURNE VIC 3000,-37.8085861,144.9577416,TPM-2015-12,"Part demolition and construction of two residential towers, alterations and additions to existing office building and use of the land for the purpose of a supermarket, childcare centre, restricted recreation facility and commercial carpark",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233774,No
11 Pridham Street KENSINGTON VIC 3031,-37.789143,144.931291,TP-2015-410,Construction of a new two storey dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233794,No
9-15 Bruce Street KENSINGTON VIC 3031,-37.798064,144.934019,TP-2015-412,Change of use from warehouse to  four office units and alterations and additions to existing building.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233813,No
Boeing Aerostructures Australia 224-260 Lorimer Street FISHERMANS BEND VIC 3207,-37.8268261,144.9116167,TP-2014-448,Construction of an additional vent stack,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214761,Yes
743-751 Swanston Street CARLTON VIC 3053,-37.800628,144.963644,TP-2014-443,Construction and display of illuminated business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214609,No
175-177 Flinders Lane MELBOURNE VIC 3000,-37.816186,144.968677,TP-2014-444,Change of use to yoga/ballet/pilates centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214610,Yes
151-169 Kings Way SOUTHBANK VIC 3006,-37.828643,144.96382,TPS-2014-23,Installation of new motor and exhaust fan,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214611,No
63 Manningham Street PARKVILLE VIC 3052,-37.786594,144.94167,TP-2014-445,"Construction of six, part three, part four storey dwellings with a semi basement carpark",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214739,No
71-73 Bayswater Road KENSINGTON VIC 3031,-37.7941113,144.9225697,TP-2014-446,Partial demolition and construction of additions to an existing dwelling in a Heritage Overlay,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214742,Yes
270-272 Flinders Street MELBOURNE VIC 3000,-37.8179636,144.9653685,TP-2014-437,Partial demolition and ground floor external alterations,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214580,Yes
437-439 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.7983292,144.9442508,TP-2014-438,External alterations to replace existing roof tiles with new slates and to carry out tuckpointing to front facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214586,Yes
171-177 La Trobe Street MELBOURNE VIC 3000,-37.8094726,144.964511,TP-2014-440,"Building and works to existing apartment including increase in the gross floor area, deck, pergola and external alterations",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214589,No
46 Molesworth Street NORTH MELBOURNE VIC 3051,-37.797458,144.948481,TP-2014-439,construct a two-storey building at the rear of the site to be used as a garage-studio,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214595,Yes
54-58 Elgin Street CARLTON VIC 3053,-37.797458,144.972681,TP-2015-95,Partial demolition and minor works to the existing building for use as a medical centre and a waiver of visitor bicyle parking.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228229,Yes
342-348 Flinders Street MELBOURNE VIC 3000,-37.818453,144.963078,TP-2015-96,Install a double sided light under the verandah.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228231,No
330-344 Little Lonsdale Street MELBOURNE VIC 3000,-37.8117691,144.959747,TP-2015-98,Proposed demolition of existing doors at front of store and construction of bi-folding doors and windows,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228238,Yes
106 Jolimont Road JOLIMONT VIC 3002,-37.8178727,144.979047,TP-2012-191/A,"Change of use to dwellings, demolition of the existing building, construction of two dwellings and vary the requirements of the schedule to Clause 52.06",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228242,No
Mondriane Tower 278-282 Spencer Street MELBOURNE VIC 3000,-37.8139793,144.9519112,TP-2015-97,Installation of an ATM with associated business identifcation signage to replace existing shop front glass,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228658,Yes
294-296 Lygon Street CARLTON VIC 3053,-37.800045,144.96735,TP-2015-88,External alterations and (retrospective) installation of exhaust canopy and flue,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228120,No
63-83 Galada Avenue PARKVILLE VIC 3052,-37.7805234,144.9397788,TPM-2015-9,"Commonwealth Games Village projectStage 8 - Freeway Apartments Precinct",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228159,No
644-658 Swanston Street CARLTON VIC 3053,-37.8010991,144.9639521,TP-2015-83,Proposed advertising signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228014,No
33-89 Lygon Street CARLTON VIC 3053,-37.805465,144.965677,TP-2015-84,Buildings and works for a new roof and canopy over outdoor plant room,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228017,Yes
Great Southern Hotel 44-64 Spencer Street MELBOURNE VIC 3000,-37.8197187,144.9547849,TP-2015-85,"Proposed new tiles to ground floor facade, new entry to restaurant, new exit to Flinder Lane and alteration to door swing to retail 2",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=228019,Yes
143-153 Russell Street MELBOURNE VIC 3000,-37.812552,144.9680715,TP-2015-59,Demolition of existing awning and windows and construction of a trafficable terrace at the first floor,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227563,No
507 MacAulay Road KENSINGTON VIC 3031,-37.79454,144.929243,TP-2013-463/B,Removal of condition 8 of the permit,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227447,Yes
275-303 Spring Street MELBOURNE VIC 3000,-37.808401,144.970868,TPS-2015-3,External painting of existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227454,No
40 Epsom Road KENSINGTON VIC 3031,-37.792271,144.92628,TP-2015-54,Construction of a carport,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227455,No
494-500 Albert Street EAST MELBOURNE VIC 3002,-37.809025,144.974237,TP-2015-56,"Part demolition of existing buildings and the construction of a mixed use (residential, place of worship, office and retail premises) building, change of use to accommodation and variation of the car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227503,No
2 Harris Street NORTH MELBOURNE VIC 3051,-37.79925,144.949527,TP-2015-55,Demolish the existing dwelling and construct a 3 storey townhouse with rooftop terrace.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227508,No
532-536 Flinders Street MELBOURNE VIC 3000,-37.820248,144.956441,TP-2015-51,Construction and display of business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227359,Yes
Newmarket Apartments 247-263 Racecourse Road KENSINGTON VIC 3031,-37.788804,144.932685,TP-2015-52,Construction and display of business identification signage and a waiver of the statutory car parking requirements.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227408,Yes
